Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
179,5,141.6,2,3,4,234,9,REGULARS
304,5,141.5,1,3,4,134,8,LOST
385,5,141.4,1,3,4,134,8,LOST
29,6,141.2,4,4,4,444,12,STARS
88,4,141.2,3,2,4,324,9,REGULARS
91,5,140.86,3,3,4,334,10,REGULARS
72,4,140.64,3,2,4,324,9,REGULARS
150,3,140.6,2,2,4,224,8,REGULARS
107,4,140.6,3,2,4,324,9,REGULARS
11,8,140.56,4,4,4,444,12,STARS
256,4,140.4,2,2,4,224,8,REGULARS
73,6,140.4,3,4,4,344,11,LOYAL
223,3,140.2,2,2,4,224,8,REGULARS
19,6,140.2,4,4,4,444,12,STARS
141,5,140.2,3,3,4,334,10,REGULARS
27,5,140.02,4,3,4,434,11,REGULARS
84,6,140.0,3,4,4,344,11,LOYAL
281,4,139.9,1,2,4,124,7,LOST
127,5,139.6,3,3,4,334,10,REGULARS
267,5,139.55,2,3,4,234,9,REGULARS
61,4,139.4,3,2,4,324,9,REGULARS
355,6,139.4,1,4,4,144,9,LOYAL
321,5,139.3,1,3,4,134,8,LOST
41,6,139.24,4,4,4,444,12,STARS
26,4,139.22,4,2,4,424,10,REGULARS
234,7,139.1,2,4,4,244,10,LOYAL
39,4,139.1,4,2,4,424,10,REGULARS
121,7,139.0,3,4,4,344,11,LOYAL
185,2,138.8,2,1,4,214,7,REGULARS
327,6,138.7,1,4,4,144,9,LOYAL
126,5,138.63,3,3,4,334,10,REGULARS
21,5,138.6,4,3,4,434,11,REGULARS
241,5,138.6,2,3,4,234,9,REGULARS
87,4,138.4,3,2,4,324,9,REGULARS
28,6,138.4,4,4,4,444,12,STARS
10,4,138.26,4,2,4,424,10,REGULARS
56,7,137.84,4,4,4,444,12,STARS
21,6,137.8,4,4,4,444,12,STARS
130,6,137.7,3,4,4,344,11,LOYAL
223,4,137.7,2,2,4,224,8,REGULARS
281,4,137.68,1,2,4,124,7,LOST
36,6,137.6,4,4,4,444,12,STARS
378,4,137.55,1,2,4,124,7,LOST
61,5,137.52,3,3,4,334,10,REGULARS
91,4,137.5,3,2,4,324,9,REGULARS
274,4,137.5,2,2,4,224,8,REGULARS
27,3,137.4,4,2,4,424,10,REGULARS
30,5,137.15,4,3,4,434,11,REGULARS
75,7,137.1,3,4,4,344,11,LOYAL
18,7,137.0,4,4,4,444,12,STARS
154,5,137.0,2,3,4,234,9,REGULARS
233,3,137.0,2,2,4,224,8,REGULARS
224,5,137.0,2,3,4,234,9,REGULARS
143,8,136.92,2,4,4,244,10,LOYAL
452,2,136.9,1,1,4,114,6,LOST
276,4,136.8,2,2,4,224,8,REGULARS
140,5,136.75,3,3,4,334,10,REGULARS
246,4,136.7,2,2,4,224,8,REGULARS
104,7,136.6,3,4,4,344,11,LOYAL
164,6,136.38,2,4,4,244,10,LOYAL
108,3,136.2,3,2,4,324,9,REGULARS
145,6,136.2,2,4,4,244,10,LOYAL
1,4,136.2,4,2,4,424,10,REGULARS
158,7,136.15,2,4,4,244,10,LOYAL
8,5,136.09,4,3,4,434,11,REGULARS
3,4,135.99,4,2,4,424,10,REGULARS
30,6,135.9,4,4,4,444,12,STARS
208,5,135.8,2,3,4,234,9,REGULARS
118,4,135.8,3,2,4,324,9,REGULARS
243,5,135.7,2,3,4,234,9,REGULARS
58,5,135.7,3,3,4,334,10,REGULARS
340,5,135.7,1,3,4,134,8,LOST
138,6,135.69,3,4,4,344,11,LOYAL
42,5,135.6,4,3,4,434,11,REGULARS
144,9,135.4,2,4,4,244,10,LOYAL
10,5,135.4,4,3,4,434,11,REGULARS
94,5,135.35,3,3,4,334,10,REGULARS
330,7,135.34,1,4,4,144,9,LOYAL
25,7,135.32,4,4,4,444,12,STARS
332,4,135.3,1,2,4,124,7,LOST
363,8,135.2,1,4,4,144,9,LOYAL
127,6,135.15,3,4,4,344,11,LOYAL
51,6,135.1,4,4,4,444,12,STARS
68,4,135.0,3,2,4,324,9,REGULARS
296,4,134.98,1,2,4,124,7,LOST
62,5,134.8,3,3,4,334,10,REGULARS
45,5,134.7,4,3,4,434,11,REGULARS
50,8,134.61,4,4,4,444,12,STARS
87,4,134.6,3,2,4,324,9,REGULARS
83,6,134.57,3,4,4,344,11,LOYAL
29,3,134.5,4,2,4,424,10,REGULARS
341,5,134.45,1,3,4,134,8,LOST
71,6,134.45,3,4,4,344,11,LOYAL
32,7,134.4,4,4,4,444,12,STARS
10,6,134.29,4,4,4,444,12,STARS
104,5,134.25,3,3,4,334,10,REGULARS
98,2,134.2,3,1,4,314,8,REGULARS
89,6,134.0,3,4,4,344,11,LOYAL
47,5,133.95,4,3,4,434,11,REGULARS
257,5,133.9,2,3,4,234,9,REGULARS
144,4,133.9,2,2,4,224,8,REGULARS
193,4,133.9,2,2,4,224,8,REGULARS
23,7,133.8,4,4,4,444,12,STARS
135,4,133.8,3,2,4,324,9,REGULARS
126,3,133.7,3,2,4,324,9,REGULARS
190,4,133.6,2,2,4,224,8,REGULARS
81,5,133.39,3,3,4,334,10,REGULARS
36,5,133.35,4,3,4,434,11,REGULARS
51,6,133.3,4,4,4,444,12,STARS
35,5,133.3,4,3,4,434,11,REGULARS
76,7,133.25,3,4,4,344,11,LOYAL
131,5,133.2,3,3,4,334,10,REGULARS
155,5,133.0,2,3,4,234,9,REGULARS
73,5,132.96,3,3,4,334,10,REGULARS
12,4,132.81,4,2,4,424,10,REGULARS
35,5,132.8,4,3,4,434,11,REGULARS
300,6,132.7,1,4,4,144,9,LOYAL
152,5,132.63,2,3,4,234,9,REGULARS
31,5,132.62,4,3,4,434,11,REGULARS
62,4,132.61,3,2,4,324,9,REGULARS
136,4,132.52,3,2,4,324,9,REGULARS
238,6,132.5,2,4,4,244,10,LOYAL
7,6,132.39,4,4,4,444,12,STARS
30,7,132.35,4,4,4,444,12,STARS
54,7,132.27,4,4,4,444,12,STARS
4,5,132.1,4,3,4,434,11,REGULARS
314,5,132.05,1,3,4,134,8,LOST
22,6,132.0,4,4,4,444,12,STARS
246,6,131.8,2,4,4,244,10,LOYAL
74,4,131.8,3,2,4,324,9,REGULARS
17,6,131.7,4,4,4,444,12,STARS
149,4,131.64,2,2,4,224,8,REGULARS
163,4,131.63,2,2,4,224,8,REGULARS
6,7,131.56,4,4,4,444,12,STARS
113,4,131.44,3,3,4,334,10,REGULARS
287,4,131.4,1,3,4,134,8,LOST
122,6,131.3,3,4,4,344,11,LOYAL
264,3,131.16,2,2,4,224,8,REGULARS
72,4,131.0,3,3,4,334,10,REGULARS
36,5,131.0,4,3,4,434,11,REGULARS
47,5,131.0,4,3,4,434,11,REGULARS
34,4,130.9,4,3,4,434,11,REGULARS
19,5,130.7,4,3,4,434,11,REGULARS
224,7,130.6,2,4,4,244,10,LOYAL
191,5,130.6,2,3,4,234,9,REGULARS
152,5,130.5,2,3,4,234,9,REGULARS
214,6,130.5,2,4,4,244,10,LOYAL
224,6,130.34,2,4,4,244,10,LOYAL
11,5,130.3,4,3,4,434,11,REGULARS
41,7,130.2,4,4,4,444,12,STARS
179,5,130.06,2,3,4,234,9,REGULARS
112,7,130.05,3,4,4,344,11,LOYAL
470,5,130.0,1,3,4,134,8,LOST
53,5,129.9,4,3,4,434,11,REGULARS
1,5,129.9,4,3,4,434,11,REGULARS
122,4,129.8,3,3,4,334,10,REGULARS
227,4,129.7,2,3,4,234,9,REGULARS
24,7,129.66,4,4,4,444,12,STARS
53,7,129.64,4,4,4,444,12,STARS
84,6,129.4,3,4,4,344,11,LOYAL
90,8,129.38,3,4,4,344,11,LOYAL
65,3,129.34,3,2,4,324,9,REGULARS
103,5,129.32,3,3,4,334,10,REGULARS
141,3,129.16,3,2,4,324,9,REGULARS
64,4,129.0,3,3,4,334,10,REGULARS
121,5,129.0,3,3,4,334,10,REGULARS
126,3,128.95,3,2,4,324,9,REGULARS
162,5,128.95,2,3,4,234,9,REGULARS
1,3,128.9,4,2,4,424,10,REGULARS
230,5,128.9,2,3,4,234,9,REGULARS
34,7,128.8,4,4,4,444,12,STARS
333,5,128.7,1,3,4,134,8,LOST
158,4,128.55,2,3,4,234,9,REGULARS
198,7,128.5,2,4,4,244,10,LOYAL
5,6,128.5,4,4,4,444,12,STARS
12,7,128.45,4,4,4,444,12,STARS
10,7,128.42,4,4,4,444,12,STARS
120,6,128.25,3,4,4,344,11,LOYAL
36,6,128.2,4,4,4,444,12,STARS
463,5,128.03,1,3,4,134,8,LOST
49,4,128.0,4,3,4,434,11,REGULARS
208,5,127.91,2,3,4,234,9,REGULARS
307,3,127.84,1,2,4,124,7,LOST
14,3,127.8,4,2,4,424,10,REGULARS
95,3,127.8,3,2,4,324,9,REGULARS
59,6,127.7,3,4,4,344,11,LOYAL
138,5,127.7,3,3,4,334,10,REGULARS
118,4,127.7,3,3,4,334,10,REGULARS
33,9,127.61,4,4,4,444,12,STARS
3,4,127.6,4,3,4,434,11,REGULARS
31,6,127.6,4,4,4,444,12,STARS
284,6,127.52,1,4,4,144,9,LOYAL
10,6,127.48,4,4,4,444,12,STARS
102,7,127.22,3,4,4,344,11,LOYAL
131,4,127.2,3,3,4,334,10,REGULARS
233,6,127.2,2,4,4,244,10,LOYAL
475,2,127.1,1,1,4,114,6,LOST
55,4,127.08,4,3,4,434,11,REGULARS
180,6,127.05,2,4,4,244,10,LOYAL
461,4,127.05,1,3,4,134,8,LOST
85,6,126.96,3,4,4,344,11,LOYAL
140,6,126.92,3,4,4,344,11,LOYAL
173,7,126.9,2,4,4,244,10,LOYAL
222,7,126.85,2,4,4,244,10,LOYAL
50,6,126.8,4,4,4,444,12,STARS
45,4,126.65,4,3,4,434,11,REGULARS
323,2,126.5,1,1,4,114,6,LOST
176,6,126.24,2,4,4,244,10,LOYAL
131,6,126.1,3,4,4,344,11,LOYAL
213,4,126.1,2,3,4,234,9,REGULARS
52,4,125.9,4,3,4,434,11,REGULARS
404,7,125.8,1,4,4,144,9,LOYAL
131,6,125.8,3,4,4,344,11,LOYAL
66,4,125.7,3,3,4,334,10,REGULARS
0,4,125.6,4,3,4,434,11,REGULARS
312,3,125.6,1,2,4,124,7,LOST
82,3,125.6,3,2,4,324,9,REGULARS
117,3,125.49,3,2,4,324,9,REGULARS
85,6,125.4,3,4,4,344,11,LOYAL
81,6,125.34,3,4,4,344,11,LOYAL
137,7,125.25,3,4,4,344,11,LOYAL
86,4,125.24,3,3,4,334,10,REGULARS
306,4,125.15,1,3,4,134,8,LOST
12,4,125.14,4,3,4,434,11,REGULARS
156,3,125.14,2,2,4,224,8,REGULARS
16,6,125.11,4,4,4,444,12,STARS
117,7,125.01,3,4,4,344,11,LOYAL
32,6,124.95,4,4,4,444,12,STARS
20,6,124.87,4,4,4,444,12,STARS
277,3,124.75,2,2,4,224,8,REGULARS
223,5,124.7,2,3,4,234,9,REGULARS
20,6,124.64,4,4,4,444,12,STARS
240,6,124.6,2,4,4,244,10,LOYAL
317,2,124.6,1,1,4,114,6,LOST
131,7,124.5,3,4,4,344,11,LOYAL
140,7,124.45,3,4,4,344,11,LOYAL
106,4,124.4,3,3,4,334,10,REGULARS
3,2,124.3,4,1,4,414,9,REGULARS
59,4,124.22,3,3,4,334,10,REGULARS
227,3,124.2,2,2,4,224,8,REGULARS
58,5,124.2,3,3,4,334,10,REGULARS
84,7,124.2,3,4,4,344,11,LOYAL
2,7,124.1,4,4,4,444,12,STARS
376,7,124.05,1,4,4,144,9,LOYAL
31,2,124.02,4,1,4,414,9,REGULARS
340,6,124.0,1,4,4,144,9,LOYAL
43,5,124.0,4,3,4,434,11,REGULARS
107,3,123.7,3,2,4,324,9,REGULARS
91,5,123.62,3,3,4,334,10,REGULARS
185,7,123.6,2,4,4,244,10,LOYAL
87,5,123.6,3,3,4,334,10,REGULARS
73,7,123.56,3,4,4,344,11,LOYAL
172,6,123.55,2,4,4,244,10,LOYAL
52,6,123.52,4,4,4,444,12,STARS
36,4,123.5,4,3,4,434,11,REGULARS
128,8,123.5,3,4,4,344,11,LOYAL
106,5,123.49,3,3,4,334,10,REGULARS
81,4,123.42,3,3,4,334,10,REGULARS
46,3,123.4,4,2,4,424,10,REGULARS
25,5,123.12,4,3,4,434,11,REGULARS
3,7,123.1,4,4,4,444,12,STARS
200,6,122.92,2,4,4,244,10,LOYAL
57,6,122.8,4,4,4,444,12,STARS
272,4,122.7,2,3,4,234,9,REGULARS
218,4,122.7,2,3,4,234,9,REGULARS
10,5,122.64,4,3,4,434,11,REGULARS
162,4,122.6,2,3,4,234,9,REGULARS
135,4,122.6,3,3,4,334,10,REGULARS
518,3,122.6,1,2,4,124,7,LOST
81,6,122.5,3,4,4,344,11,LOYAL
22,4,122.4,4,3,4,434,11,REGULARS
34,4,122.4,4,3,4,434,11,REGULARS
28,6,122.15,4,4,4,444,12,STARS
129,6,122.04,3,4,4,344,11,LOYAL
92,4,121.8,3,3,4,334,10,REGULARS
34,5,121.8,4,3,4,434,11,REGULARS
358,5,121.7,1,3,4,134,8,LOST
185,6,121.65,2,4,4,244,10,LOYAL
162,3,121.64,2,2,4,224,8,REGULARS
184,4,121.62,2,3,4,234,9,REGULARS
278,4,121.6,2,3,4,234,9,REGULARS
151,8,121.6,2,4,4,244,10,LOYAL
175,7,121.4,2,4,4,244,10,LOYAL
338,4,121.31,1,3,4,134,8,LOST
414,4,121.29,1,3,4,134,8,LOST
197,4,121.2,2,3,4,234,9,REGULARS
47,3,121.2,4,2,4,424,10,REGULARS
22,3,121.2,4,2,4,424,10,REGULARS
173,6,121.12,2,4,4,244,10,LOYAL
284,3,121.1,1,2,4,124,7,LOST
33,3,120.9,4,2,4,424,10,REGULARS
287,3,120.85,1,2,4,124,7,LOST
84,4,120.84,3,3,4,334,10,REGULARS
92,7,120.62,3,4,4,344,11,LOYAL
62,4,120.56,3,3,4,334,10,REGULARS
103,3,120.55,3,2,4,324,9,REGULARS
3,9,120.49,4,4,4,444,12,STARS
373,5,120.4,1,3,4,134,8,LOST
17,3,120.3,4,2,4,424,10,REGULARS
13,5,120.2,4,3,4,434,11,REGULARS
76,4,120.12,3,3,4,334,10,REGULARS
154,4,120.1,2,3,4,234,9,REGULARS
105,7,120.05,3,4,4,344,11,LOYAL
37,7,119.99,4,4,4,444,12,STARS
34,6,119.92,4,4,4,444,12,STARS
124,8,119.9,3,4,4,344,11,LOYAL
233,5,119.9,2,3,4,234,9,REGULARS
18,3,119.8,4,2,4,424,10,REGULARS
330,4,119.72,1,3,4,134,8,LOST
172,5,119.65,2,3,4,234,9,REGULARS
101,5,119.65,3,3,4,334,10,REGULARS
25,6,119.6,4,4,4,444,12,STARS
359,5,119.52,1,3,4,134,8,LOST
135,5,119.5,3,3,4,334,10,REGULARS
38,5,119.49,4,3,4,434,11,REGULARS
92,4,119.26,3,3,4,334,10,REGULARS
51,7,119.15,4,4,4,444,12,STARS
105,4,119.1,3,3,4,334,10,REGULARS
78,5,119.05,3,3,4,334,10,REGULARS
226,6,119.0,2,4,4,244,10,LOYAL
200,5,119.0,2,3,4,234,9,REGULARS
2,6,118.95,4,4,4,444,12,STARS
131,5,118.8,3,3,4,334,10,REGULARS
276,5,118.8,2,3,4,234,9,REGULARS
94,6,118.76,3,4,4,344,11,LOYAL
257,5,118.75,2,3,4,234,9,REGULARS
179,5,118.64,2,3,4,234,9,REGULARS
40,6,118.51,4,4,4,444,12,STARS
58,4,118.4,3,3,4,334,10,REGULARS
41,6,118.4,4,4,4,444,12,STARS
402,6,118.38,1,4,4,144,9,LOYAL
238,5,118.26,2,3,4,234,9,REGULARS
135,4,118.2,3,3,4,334,10,REGULARS
29,6,118.2,4,4,4,444,12,STARS
297,5,118.1,1,3,4,134,8,LOST
33,5,118.08,4,3,4,434,11,REGULARS
85,4,117.95,3,3,4,334,10,REGULARS
14,5,117.9,4,3,4,434,11,REGULARS
51,7,117.9,4,4,4,444,12,STARS
145,6,117.9,2,4,4,244,10,LOYAL
140,6,117.9,3,4,4,344,11,LOYAL
20,6,117.75,4,4,4,444,12,STARS
185,6,117.68,2,4,4,244,10,LOYAL
159,6,117.66,2,4,4,244,10,LOYAL
222,4,117.65,2,3,4,234,9,REGULARS
10,6,117.6,4,4,4,444,12,STARS
571,3,117.5,1,2,4,124,7,LOST
60,9,117.42,3,4,4,344,11,LOYAL
177,6,117.4,2,4,4,244,10,LOYAL
44,7,117.4,4,4,4,444,12,STARS
216,5,117.35,2,3,4,234,9,REGULARS
221,6,117.3,2,4,4,244,10,LOYAL
20,4,117.1,4,3,4,434,11,REGULARS
631,2,117.06,1,1,4,114,6,LOST
15,6,117.04,4,4,4,444,12,STARS
37,7,117.04,4,4,4,444,12,STARS
7,5,117.0,4,3,4,434,11,REGULARS
273,4,116.9,2,3,4,234,9,REGULARS
33,6,116.9,4,4,4,444,12,STARS
230,5,116.8,2,3,4,234,9,REGULARS
186,5,116.8,2,3,4,234,9,REGULARS
4,3,116.69,4,2,4,424,10,REGULARS
9,3,116.65,4,2,4,424,10,REGULARS
10,6,116.5,4,4,4,444,12,STARS
188,5,116.48,2,3,4,234,9,REGULARS
192,4,116.32,2,3,4,234,9,REGULARS
166,7,116.32,2,4,4,244,10,LOYAL
80,8,116.3,3,4,4,344,11,LOYAL
41,5,116.0,4,3,4,434,11,REGULARS
195,4,116.0,2,3,4,234,9,REGULARS
78,6,115.91,3,4,4,344,11,LOYAL
141,6,115.9,3,4,4,344,11,LOYAL
244,5,115.9,2,3,4,234,9,REGULARS
16,6,115.9,4,4,4,444,12,STARS
48,3,115.8,4,2,4,424,10,REGULARS
26,4,115.55,4,3,4,434,11,REGULARS
8,3,115.3,4,2,4,424,10,REGULARS
83,3,115.3,3,2,4,324,9,REGULARS
45,6,115.3,4,4,4,444,12,STARS
38,6,115.28,4,4,3,443,11,LOYAL
76,4,115.26,3,3,3,333,9,REGULARS
501,4,115.2,1,3,3,133,7,LOST
105,8,115.2,3,4,3,343,10,LOYAL
52,6,115.16,4,4,3,443,11,LOYAL
373,5,115.02,1,3,3,133,7,LOST
255,2,115.0,2,1,3,213,6,REGULARS
195,5,115.0,2,3,3,233,8,REGULARS
67,1,114.9,3,1,3,313,7,REGULARS
45,4,114.88,4,3,3,433,10,REGULARS
81,3,114.8,3,2,3,323,8,REGULARS
1,4,114.75,4,3,3,433,10,REGULARS
42,5,114.7,4,3,3,433,10,REGULARS
9,6,114.69,4,4,3,443,11,LOYAL
146,3,114.62,2,2,3,223,7,REGULARS
417,5,114.6,1,3,3,133,7,LOST
207,7,114.5,2,4,3,243,9,LOYAL
39,6,114.44,4,4,3,443,11,LOYAL
180,4,114.36,2,3,3,233,8,REGULARS
220,3,114.3,2,2,3,223,7,REGULARS
266,4,114.3,2,3,3,233,8,REGULARS
45,4,114.24,4,3,3,433,10,REGULARS
195,5,114.1,2,3,3,233,8,REGULARS
35,4,114.0,4,3,3,433,10,REGULARS
78,6,114.0,3,4,3,343,10,LOYAL
110,2,114.0,3,1,3,313,7,REGULARS
8,4,114.0,4,3,3,433,10,REGULARS
65,7,113.8,3,4,3,343,10,LOYAL
272,4,113.75,2,3,3,233,8,REGULARS
90,6,113.7,3,4,3,343,10,LOYAL
126,4,113.7,3,3,3,333,9,REGULARS
7,6,113.7,4,4,3,443,11,LOYAL
253,7,113.66,2,4,3,243,9,LOYAL
236,5,113.62,2,3,3,233,8,REGULARS
253,5,113.56,2,3,3,233,8,REGULARS
146,5,113.5,2,3,3,233,8,REGULARS
311,6,113.4,1,4,3,143,8,LOYAL
66,6,113.35,3,4,3,343,10,LOYAL
138,6,113.35,3,4,3,343,10,LOYAL
118,5,113.3,3,3,3,333,9,REGULARS
7,3,113.22,4,2,3,423,9,REGULARS
119,5,113.16,3,3,3,333,9,REGULARS
47,7,113.15,4,4,3,443,11,LOYAL
13,6,113.1,4,4,3,443,11,LOYAL
306,9,113.05,1,4,3,143,8,LOYAL
96,7,113.0,3,4,3,343,10,LOYAL
33,6,113.0,4,4,3,443,11,LOYAL
541,3,113.0,1,2,3,123,6,LOST
325,5,112.96,1,3,3,133,7,LOST
51,5,112.9,4,3,3,433,10,REGULARS
111,6,112.9,3,4,3,343,10,LOYAL
51,4,112.8,4,3,3,433,10,REGULARS
294,3,112.8,1,2,3,123,6,LOST
291,4,112.76,1,3,3,133,7,LOST
312,5,112.6,1,3,3,133,7,LOST
102,6,112.6,3,4,3,343,10,LOYAL
475,2,112.6,1,1,3,113,5,LOST
108,6,112.5,3,4,3,343,10,LOYAL
7,7,112.5,4,4,3,443,11,LOYAL
271,4,112.4,2,3,3,233,8,REGULARS
163,3,112.3,2,2,3,223,7,REGULARS
48,4,112.1,4,3,3,433,10,REGULARS
112,4,112.0,3,3,3,333,9,REGULARS
366,5,112.0,1,3,3,133,7,LOST
532,3,112.0,1,2,3,123,6,LOST
129,3,111.9,3,2,3,323,8,REGULARS
126,6,111.84,3,4,3,343,10,LOYAL
19,7,111.8,4,4,3,443,11,LOYAL
317,5,111.78,1,3,3,133,7,LOST
18,4,111.7,4,3,3,433,10,REGULARS
13,5,111.7,4,3,3,433,10,REGULARS
432,4,111.62,1,3,3,133,7,LOST
77,5,111.5,3,3,3,333,9,REGULARS
484,2,111.45,1,1,3,113,5,LOST
54,5,111.36,4,3,3,433,10,REGULARS
57,4,111.3,4,3,3,433,10,REGULARS
11,5,111.3,4,3,3,433,10,REGULARS
379,4,111.3,1,3,3,133,7,LOST
90,3,111.27,3,2,3,323,8,REGULARS
142,5,111.23,2,3,3,233,8,REGULARS
411,4,111.2,1,3,3,133,7,LOST
73,3,111.2,3,2,3,323,8,REGULARS
145,5,111.2,2,3,3,233,8,REGULARS
15,3,111.16,4,2,3,423,9,REGULARS
62,5,111.15,3,3,3,333,9,REGULARS
85,5,111.1,3,3,3,333,9,REGULARS
23,7,110.96,4,4,3,443,11,LOYAL
387,5,110.9,1,3,3,133,7,LOST
16,6,110.8,4,4,3,443,11,LOYAL
85,5,110.8,3,3,3,333,9,REGULARS
148,6,110.7,2,4,3,243,9,LOYAL
15,4,110.7,4,3,3,433,10,REGULARS
58,5,110.7,3,3,3,333,9,REGULARS
69,4,110.7,3,3,3,333,9,REGULARS
148,4,110.6,2,3,3,233,8,REGULARS
258,6,110.58,2,4,3,243,9,LOYAL
16,7,110.55,4,4,3,443,11,LOYAL
18,7,110.5,4,4,3,443,11,LOYAL
22,6,110.5,4,4,3,443,11,LOYAL
71,4,110.4,3,3,3,333,9,REGULARS
107,5,110.4,3,3,3,333,9,REGULARS
44,5,110.2,4,3,3,433,10,REGULARS
294,3,110.15,1,2,3,123,6,LOST
589,4,110.0,1,3,3,133,7,LOST
304,4,109.9,1,3,3,133,7,LOST
27,4,109.8,4,3,3,433,10,REGULARS
162,4,109.8,2,3,3,233,8,REGULARS
47,6,109.72,4,4,3,443,11,LOYAL
24,6,109.6,4,4,3,443,11,LOYAL
78,3,109.54,3,2,3,323,8,REGULARS
149,5,109.5,2,3,3,233,8,REGULARS
108,5,109.42,3,3,3,333,9,REGULARS
44,6,109.4,4,4,3,443,11,LOYAL
259,6,109.3,2,4,3,243,9,LOYAL
177,2,109.22,2,1,3,213,6,REGULARS
229,5,109.2,2,3,3,233,8,REGULARS
27,6,109.2,4,4,3,443,11,LOYAL
40,6,109.12,4,4,3,443,11,LOYAL
40,4,109.1,4,3,3,433,10,REGULARS
75,7,109.07,3,4,3,343,10,LOYAL
65,3,109.0,3,2,3,323,8,REGULARS
73,5,108.96,3,3,3,333,9,REGULARS
56,4,108.95,4,3,3,433,10,REGULARS
128,4,108.9,3,3,3,333,9,REGULARS
104,5,108.8,3,3,3,333,9,REGULARS
131,8,108.8,3,4,3,343,10,LOYAL
243,4,108.8,2,3,3,233,8,REGULARS
144,5,108.8,2,3,3,233,8,REGULARS
33,4,108.7,4,3,3,433,10,REGULARS
25,6,108.65,4,4,3,443,11,LOYAL
19,5,108.6,4,3,3,433,10,REGULARS
94,5,108.6,3,3,3,333,9,REGULARS
148,2,108.6,2,1,3,213,6,REGULARS
12,2,108.5,4,1,3,413,8,REGULARS
14,5,108.5,4,3,3,433,10,REGULARS
234,5,108.5,2,3,3,233,8,REGULARS
323,4,108.48,1,3,3,133,7,LOST
0,5,108.4,4,3,3,433,10,REGULARS
15,5,108.4,4,3,3,433,10,REGULARS
123,2,108.3,3,1,3,313,7,REGULARS
29,5,108.21,4,3,3,433,10,REGULARS
382,4,108.15,1,3,3,133,7,LOST
69,3,108.1,3,2,3,323,8,REGULARS
296,6,108.1,1,4,3,143,8,LOYAL
29,5,108.04,4,3,3,433,10,REGULARS
278,7,108.04,2,4,3,243,9,LOYAL
7,4,108.0,4,3,3,433,10,REGULARS
53,4,108.0,4,3,3,433,10,REGULARS
381,5,107.9,1,3,3,133,7,LOST
101,5,107.85,3,3,3,333,9,REGULARS
5,4,107.8,4,3,3,433,10,REGULARS
220,6,107.75,2,4,3,243,9,LOYAL
408,2,107.6,1,1,3,113,5,LOST
172,5,107.6,2,3,3,233,8,REGULARS
194,3,107.5,2,2,3,223,7,REGULARS
99,3,107.5,3,2,3,323,8,REGULARS
39,4,107.46,4,3,3,433,10,REGULARS
145,8,107.42,2,4,3,243,9,LOYAL
385,3,107.4,1,2,3,123,6,LOST
162,5,107.4,2,3,3,233,8,REGULARS
36,5,107.4,4,3,3,433,10,REGULARS
125,4,107.39,3,3,3,333,9,REGULARS
91,4,107.34,3,3,3,333,9,REGULARS
27,6,107.3,4,4,3,443,11,LOYAL
102,4,107.3,3,3,3,333,9,REGULARS
54,3,107.3,4,2,3,423,9,REGULARS
443,4,107.2,1,3,3,133,7,LOST
108,3,107.2,3,2,3,323,8,REGULARS
346,5,107.14,1,3,3,133,7,LOST
61,4,107.14,3,3,3,333,9,REGULARS
50,4,107.11,4,3,3,433,10,REGULARS
112,4,107.0,3,3,3,333,9,REGULARS
13,4,106.93,4,3,3,433,10,REGULARS
79,4,106.9,3,3,3,333,9,REGULARS
91,5,106.75,3,3,3,333,9,REGULARS
191,4,106.64,2,3,3,233,8,REGULARS
131,4,106.6,3,3,3,333,9,REGULARS
229,3,106.6,2,2,3,223,7,REGULARS
161,2,106.52,2,1,3,213,6,REGULARS
59,6,106.48,3,4,3,343,10,LOYAL
113,4,106.3,3,3,3,333,9,REGULARS
66,3,106.2,3,2,3,323,8,REGULARS
27,7,106.2,4,4,3,443,11,LOYAL
132,3,106.1,3,2,3,323,8,REGULARS
13,5,106.0,4,3,3,433,10,REGULARS
299,3,105.9,1,2,3,123,6,LOST
12,5,105.85,4,3,3,433,10,REGULARS
137,6,105.8,3,4,3,343,10,LOYAL
37,5,105.75,4,3,3,433,10,REGULARS
236,5,105.7,2,3,3,233,8,REGULARS
4,8,105.66,4,4,3,443,11,LOYAL
31,4,105.6,4,3,3,433,10,REGULARS
10,7,105.55,4,4,3,443,11,LOYAL
124,4,105.55,3,3,3,333,9,REGULARS
288,5,105.5,1,3,3,133,7,LOST
85,8,105.45,3,4,3,343,10,LOYAL
134,7,105.39,3,4,3,343,10,LOYAL
217,4,105.3,2,3,3,233,8,REGULARS
24,4,105.3,4,3,3,433,10,REGULARS
82,6,105.24,3,4,3,343,10,LOYAL
168,4,105.1,2,3,3,233,8,REGULARS
14,5,105.1,4,3,3,433,10,REGULARS
19,2,105.05,4,1,3,413,8,REGULARS
117,6,105.0,3,4,3,343,10,LOYAL
118,6,105.0,3,4,3,343,10,LOYAL
32,6,104.95,4,4,3,443,11,LOYAL
39,4,104.9,4,3,3,433,10,REGULARS
261,3,104.9,2,2,3,223,7,REGULARS
231,3,104.85,2,2,3,223,7,REGULARS
8,4,104.8,4,3,3,433,10,REGULARS
98,4,104.8,3,3,3,333,9,REGULARS
330,5,104.77,1,3,3,133,7,LOST
282,5,104.75,1,3,3,133,7,LOST
